GID,PID,SEASON,POSTSEASON,AWAY,PRESSURE,TO BEFORE,PRECIP,COLD49,HUMID,WINDY,GRASS,ALTITUDE,DIST,MAKE,BLOCKED,FKICKER,NAME,FG OF CAREER,SEASON OF CAREER
65,10462,2000,0,1,3,0,0,0,0,1,1,0,47,1,0,PE-010,Paul Edinger,7,1
66,10503,2000,0,0,2,0,0,0,-1,1,1,0,19,1,0,SL-060,Steve Lindsey,4,1
66,10547,2000,0,1,2,0,0,0,-1,1,1,0,19,1,0,KB-230,Kris Brown,36,2
66,10572,2000,0,0,2,1,0,0,-1,1,1,0,48,1,0,SL-060,Steve Lindsey,5,1
67,10669,2000,0,1,2,0,0,0,0,1,1,0,51,0,0,CB-170,Cary Blanchard,160,9
67,10695,2000,0,1,2,0,0,0,0,1,1,0,32,1,0,CB-170,Cary Blanchard,161,9
67,10718,2000,0,0,2,0,0,0,0,1,1,0,33,1,0,WR-050,Wade Richey,47,3
67,10780,2000,0,0,3,0,0,0,0,1,1,0,29,1,0,WR-050,Wade Richey,48,3
67,10795,2000,0,1,3,0,0,0,0,1,1,0,27,1,0,CB-170,Cary Blanchard,162,9
68,10826,2000,0,0,2,1,0,0,0,0,0,0,51,1,0,JW-330,Jeff Wilkins,154,6
68,10856,2000,0,1,2,0,0,0,0,0,0,0,37,1,0,JC-090,John Carney,317,11
68,10867,2000,0,0,2,0,0,0,0,0,0,0,21,1,0,JW-330,Jeff Wilkins,155,6
68,10898,2000,0,1,2,0,0,0,0,0,0,0,49,0,0,JC-090,John Carney,318,11
68,10905,2000,0,0,2,1,0,0,0,0,0,0,31,1,0,JW-330,Jeff Wilkins,156,6
68,10929,2000,0,0,2,0,0,0,0,0,0,0,33,1,0,JW-330,Jeff Wilkins,157,6
68,10953,2000,0,0,1,0,0,0,0,0,0,0,20,1,0,JW-330,Jeff Wilkins,158,6
69,11062,2000,0,0,2,1,0,0,1,0,1,0,46,0,0,AD-080,Al Del Greco,340,17
70,11251,2000,0,0,2,0,0,0,1,0,1,0,28,1,0,MH-390,Michael Husted,142,8
70,11274,2000,0,1,3,0,0,0,1,0,1,0,40,0,1,MG-120,Martin Gramatica,41,2
70,11311,2000,0,0,4,1,0,0,1,0,1,0,35,0,1,MH-390,Michael Husted,143,8
70,11317,2000,0,1,6,0,0,0,1,0,1,0,42,1,0,MG-120,Martin Gramatica,42,2
